match_id,season,team1,team2,team1_wins_h2h,team2_wins_h2h,team1_win_pct_h2h,team2_win_pct_h2h,team1_recent_wins,team2_recent_wins,team1_win_pct,team2_win_pct,winner
1136603,2018,Chennai Super Kings,Rajasthan Royals,8,2,0.8,0.2,15,11,0.6,0.44,Rajasthan Royals
1136604,2018,Kolkata Knight Riders,Kings XI Punjab,8,2,0.8,0.2,13,13,0.52,0.52,Kolkata Knight Riders
1136605,2018,Delhi Daredevils,Royal Challengers Bangalore,1,8,0.1,0.8,9,7,0.36,0.28,Royal Challengers Bangalore
1136606,2018,Sunrisers Hyderabad,Chennai Super Kings,2,5,0.2857142857142857,0.7142857142857143,17,14,0.68,0.56,Chennai Super Kings
1136607,2018,Mumbai Indians,Rajasthan Royals,7,3,0.7,0.3,15,12,0.6,0.48,Rajasthan Royals
1136608,2018,Kings XI Punjab,Royal Challengers Bangalore,6,4,0.6,0.4,13,7,0.52,0.28,Royal Challengers Bangalore
1136609,2018,Rajasthan Royals,Kolkata Knight Riders,5,5,0.5,0.5,12,13,0.48,0.52,Kolkata Knight Riders
1136610,2018,Mumbai Indians,Kings XI Punjab,6,4,0.6,0.4,14,12,0.56,0.48,Mumbai Indians
1136611,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,4,6,0.4,0.6,8,16,0.32,0.64,Royal Challengers Bangalore
1136612,2018,Delhi Daredevils,Chennai Super Kings,2,8,0.2,0.8,9,15,0.36,0.6,Delhi Daredevils
1136613,2018,Rajasthan Royals,Royal Challengers Bangalore,5,4,0.5,0.4,11,9,0.44,0.36,Rajasthan Royals
1136614,2018,Sunrisers Hyderabad,Kolkata Knight Riders,4,6,0.4,0.6,15,13,0.6,0.52,Kolkata Knight Riders
1136615,2018,Delhi Daredevils,Mumbai Indians,5,5,0.5,0.5,9,14,0.36,0.56,Delhi Daredevils
1136616,2018,Kings XI Punjab,Chennai Super Kings,6,4,0.6,0.4,11,14,0.44,0.56,Chennai Super Kings
1136617,2018,Sunrisers Hyderabad,Chennai Super Kings,2,6,0.25,0.75,15,14,0.6,0.56,Chennai Super Kings
1136618,2018,Kolkata Knight Riders,Rajasthan Royals,5,5,0.5,0.5,13,11,0.52,0.44,Kolkata Knight Riders
1136619,2018,Sunrisers Hyderabad,Kolkata Knight Riders,4,6,0.4,0.6,15,14,0.6,0.56,Sunrisers Hyderabad
1136620,2018,Sunrisers Hyderabad,Chennai Super Kings,2,7,0.2222222222222222,0.7777777777777778,15,14,0.6,0.56,Chennai Super Kings
1175356,2019,Royal Challengers Bangalore,Chennai Super Kings,2,8,0.2,0.8,8,15,0.32,0.6,Chennai Super Kings
1175357,2019,Sunrisers Hyderabad,Kolkata Knight Riders,4,6,0.4,0.6,14,13,0.56,0.52,Kolkata Knight Riders
1175358,2019,Delhi Capitals,Mumbai Indians,0,0,0.0,0.0,0,13,0.0,0.52,Delhi Capitals
1175359,2019,Kings XI Punjab,Rajasthan Royals,4,6,0.4,0.6,11,10,0.44,0.4,Kings XI Punjab
1175360,2019,Delhi Capitals,Chennai Super Kings,0,0,0.0,0.0,1,16,1.0,0.64,Chennai Super Kings
1175361,2019,Kolkata Knight Riders,Kings XI Punjab,8,2,0.8,0.2,13,12,0.52,0.48,Kolkata Knight Riders
1175362,2019,Mumbai Indians,Royal Challengers Bangalore,7,3,0.7,0.3,12,8,0.48,0.32,Mumbai Indians
1175363,2019,Rajasthan Royals,Sunrisers Hyderabad,4,5,0.4444444444444444,0.5555555555555556,9,14,0.36,0.56,Sunrisers Hyderabad
1175364,2019,Mumbai Indians,Kings XI Punjab,7,3,0.7,0.3,13,12,0.52,0.48,Kings XI Punjab
1175365,2019,Kolkata Knight Riders,Delhi Capitals,0,0,0.0,0.0,13,1,0.52,0.5,Delhi Capitals
1175366,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,6,4,0.6,0.4,14,8,0.56,0.32,Sunrisers Hyderabad
1175367,2019,Chennai Super Kings,Rajasthan Royals,7,3,0.7,0.3,16,9,0.64,0.36,Chennai Super Kings
1175368,2019,Kings XI Punjab,Delhi Capitals,0,0,0.0,0.0,13,2,0.52,0.6666666666666666,Kings XI Punjab
1175369,2019,Royal Challengers Bangalore,Rajasthan Royals,4,5,0.4,0.5,8,9,0.32,0.36,Rajasthan Royals
1175370,2019,Mumbai Indians,Chennai Super Kings,5,5,0.5,0.5,12,17,0.48,0.68,Mumbai Indians
1175371,2019,Delhi Capitals,Sunrisers Hyderabad,0,0,0.0,0.0,2,14,0.5,0.56,Sunrisers Hyderabad
1175372,2019,Royal Challengers Bangalore,Kolkata Knight Riders,3,7,0.3,0.7,7,13,0.28,0.52,Kolkata Knight Riders
1178393,2019,Chennai Super Kings,Kings XI Punjab,5,5,0.5,0.5,16,13,0.64,0.52,Chennai Super Kings
1178394,2019,Mumbai Indians,Sunrisers Hyderabad,4,6,0.4,0.6,12,15,0.48,0.6,Mumbai Indians
1178395,2019,Royal Challengers Bangalore,Delhi Capitals,0,0,0.0,0.0,7,2,0.28,0.4,Delhi Capitals
1178396,2019,Rajasthan Royals,Kolkata Knight Riders,5,5,0.5,0.5,10,14,0.4,0.56,Kolkata Knight Riders
1178397,2019,Sunrisers Hyderabad,Kings XI Punjab,7,3,0.7,0.3,15,13,0.6,0.52,Kings XI Punjab
1178398,2019,Kolkata Knight Riders,Chennai Super Kings,4,6,0.4,0.6,14,17,0.56,0.68,Chennai Super Kings
1178399,2019,Kings XI Punjab,Mumbai Indians,4,6,0.4,0.6,13,12,0.52,0.48,Mumbai Indians
1178400,2019,Rajasthan Royals,Chennai Super Kings,3,7,0.3,0.7,10,17,0.4,0.68,Chennai Super Kings
1178401,2019,Kolkata Knight Riders,Delhi Capitals,0,1,0.0,1.0,14,3,0.56,0.5,Delhi Capitals
1178402,2019,Mumbai Indians,Rajasthan Royals,6,4,0.6,0.4,13,9,0.52,0.36,Rajasthan Royals
1178403,2019,Kings XI Punjab,Royal Challengers Bangalore,5,5,0.5,0.5,12,7,0.48,0.28,Royal Challengers Bangalore
1178404,2019,Kolkata Knight Riders,Chennai Super Kings,4,6,0.4,0.6,14,18,0.56,0.72,Chennai Super Kings
1178405,2019,Delhi Capitals,Sunrisers Hyderabad,0,1,0.0,1.0,4,14,0.5714285714285714,0.56,Delhi Capitals
1178406,2019,Royal Challengers Bangalore,Mumbai Indians,2,8,0.2,0.8,8,13,0.32,0.52,Mumbai Indians
1178407,2019,Kings XI Punjab,Rajasthan Royals,5,5,0.5,0.5,12,10,0.48,0.4,Kings XI Punjab
1178408,2019,Chennai Super Kings,Sunrisers Hyderabad,8,2,0.8,0.2,18,13,0.72,0.52,Sunrisers Hyderabad
1178409,2019,Mumbai Indians,Delhi Capitals,0,1,0.0,1.0,13,5,0.52,0.625,Mumbai Indians
1178410,2019,Royal Challengers Bangalore,Kolkata Knight Riders,3,7,0.3,0.7,8,13,0.32,0.52,Royal Challengers Bangalore
1178411,2019,Mumbai Indians,Rajasthan Royals,5,5,0.5,0.5,14,10,0.56,0.4,Rajasthan Royals
1178412,2019,Kings XI Punjab,Delhi Capitals,1,0,1.0,0.0,12,5,0.48,0.5555555555555556,Delhi Capitals
1178413,2019,Kolkata Knight Riders,Sunrisers Hyderabad,6,4,0.6,0.4,13,14,0.52,0.56,Sunrisers Hyderabad
1178414,2019,Royal Challengers Bangalore,Chennai Super Kings,2,8,0.2,0.8,9,18,0.36,0.72,Royal Challengers Bangalore
1178415,2019,Rajasthan Royals,Delhi Capitals,0,0,0.0,0.0,10,6,0.4,0.6,Delhi Capitals
1178416,2019,Sunrisers Hyderabad,Chennai Super Kings,3,7,0.3,0.7,14,17,0.56,0.68,Chennai Super Kings
1178417,2019,Royal Challengers Bangalore,Kings XI Punjab,6,4,0.6,0.4,10,11,0.4,0.44,Royal Challengers Bangalore
1178418,2019,Kolkata Knight Riders,Rajasthan Royals,6,4,0.6,0.4,12,10,0.48,0.4,Rajasthan Royals
1178419,2019,Mumbai Indians,Chennai Super Kings,5,5,0.5,0.5,13,17,0.52,0.68,Mumbai Indians
1178420,2019,Sunrisers Hyderabad,Rajasthan Royals,6,4,0.6,0.4,13,11,0.52,0.44,Rajasthan Royals
1178421,2019,Delhi Capitals,Royal Challengers Bangalore,1,0,1.0,0.0,7,10,0.6363636363636364,0.4,Delhi Capitals
1178422,2019,Kolkata Knight Riders,Mumbai Indians,2,8,0.2,0.8,12,13,0.48,0.52,Kolkata Knight Riders
1178423,2019,Sunrisers Hyderabad,Kings XI Punjab,7,3,0.7,0.3,12,11,0.48,0.44,Sunrisers Hyderabad
1178424,2019,Royal Challengers Bangalore,Rajasthan Royals,3,6,0.3,0.6,10,11,0.4,0.44,
1178425,2019,Chennai Super Kings,Delhi Capitals,1,0,1.0,0.0,17,8,0.68,0.6666666666666666,Chennai Super Kings
1178426,2019,Mumbai Indians,Sunrisers Hyderabad,5,5,0.5,0.5,13,13,0.52,0.52,Mumbai Indians
1178427,2019,Kings XI Punjab,Kolkata Knight Riders,2,8,0.2,0.8,10,13,0.4,0.52,Kolkata Knight Riders
1178428,2019,Rajasthan Royals,Delhi Capitals,0,1,0.0,1.0,10,8,0.4,0.6153846153846154,Delhi Capitals
1178429,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,7,3,0.7,0.3,13,9,0.52,0.36,Royal Challengers Bangalore
1178430,2019,Chennai Super Kings,Kings XI Punjab,6,4,0.6,0.4,17,10,0.68,0.4,Kings XI Punjab
1178431,2019,Kolkata Knight Riders,Mumbai Indians,2,8,0.2,0.8,13,14,0.52,0.56,Mumbai Indians
1181764,2019,Chennai Super Kings,Mumbai Indians,4,6,0.4,0.6,16,15,0.64,0.6,Mumbai Indians
1181766,2019,Sunrisers Hyderabad,Delhi Capitals,1,1,0.5,0.5,12,9,0.48,0.6428571428571429,Delhi Capitals
1181767,2019,Delhi Capitals,Chennai Super Kings,0,2,0.0,1.0,10,15,0.6666666666666666,0.6,Chennai Super Kings
1181768,2019,Mumbai Indians,Chennai Super Kings,7,3,0.7,0.3,15,16,0.6,0.64,Mumbai Indians
1216492,2020/21,Mumbai Indians,Chennai Super Kings,8,2,0.8,0.2,16,15,0.64,0.6,Chennai Super Kings
1216493,2020/21,Delhi Capitals,Kings XI Punjab,1,1,0.5,0.5,10,10,0.625,0.4,Delhi Capitals
1216534,2020/21,Royal Challengers Bangalore,Sunrisers Hyderabad,4,6,0.4,0.6,10,11,0.4,0.44,Royal Challengers Bangalore
1216496,2020/21,Rajasthan Royals,Chennai Super Kings,3,7,0.3,0.7,10,16,0.4,0.64,Rajasthan Royals
1216508,2020/21,Mumbai Indians,Kolkata Knight Riders,9,1,0.9,0.1,16,12,0.64,0.48,Mumbai Indians
1216510,2020/21,Kings XI Punjab,Royal Challengers Bangalore,3,7,0.3,0.7,9,11,0.36,0.44,Kings XI Punjab
1216539,2020/21,Delhi Capitals,Chennai Super Kings,0,3,0.0,1.0,11,15,0.6470588235294118,0.6,Delhi Capitals
1216545,2020/21,Sunrisers Hyderabad,Kolkata Knight Riders,5,5,0.5,0.5,10,12,0.4,0.48,Kolkata Knight Riders
1216527,2020/21,Kings XI Punjab,Rajasthan Royals,6,4,0.6,0.4,9,11,0.36,0.44,Rajasthan Royals
