match_id,match_date,format,team1,team2,team1_wins_h2h,team2_wins_h2h,team1_win_pct_h2h,team2_win_pct_h2h,team1_recent_wins,team2_recent_wins,team1_win_pct,team2_win_pct,venue,venue_country,winner
226358,2005-11-25,ODI,India,South Africa,4,5,0.4,0.5,14,18,0.56,0.72,Eden Gardens,India,South Africa
226359,2005-11-28,ODI,South Africa,India,5,4,0.5,0.4,19,13,0.76,0.52,Wankhede Stadium,India,India
226364,2005-12-03,ODI,Australia,New Zealand,9,1,0.9,0.1,18,11,0.72,0.44,Eden Park,New Zealand,Australia
226365,2005-12-07,ODI,Australia,New Zealand,9,1,0.9,0.1,18,11,0.72,0.44,Westpac Stadium,New Zealand,Australia
226366,2005-12-10,ODI,Australia,New Zealand,9,1,0.9,0.1,19,10,0.76,0.4,Jade Stadium,New Zealand,New Zealand
226352,2005-12-10,ODI,England,Pakistan,4,6,0.4,0.6,13,16,0.52,0.64,Gaddafi Stadium,Pakistan,England
226353,2005-12-12,ODI,England,Pakistan,4,6,0.4,0.6,13,15,0.52,0.6,Gaddafi Stadium,Pakistan,Pakistan
226354,2005-12-15,ODI,Pakistan,England,6,4,0.6,0.4,16,12,0.64,0.48,National Stadium,Pakistan,Pakistan
226355,2005-12-19,ODI,Pakistan,England,6,4,0.6,0.4,16,11,0.64,0.44,Rawalpindi Cricket Stadium,Pakistan,Pakistan
226356,2005-12-21,ODI,England,Pakistan,4,6,0.4,0.6,11,16,0.44,0.64,Rawalpindi Cricket Stadium,Pakistan,England
226390,2005-12-31,ODI,Sri Lanka,New Zealand,6,4,0.6,0.4,14,10,0.56,0.4,Queenstown Events Centre,New Zealand,New Zealand
226391,2006-01-03,ODI,Sri Lanka,New Zealand,6,4,0.6,0.4,13,11,0.52,0.44,Jade Stadium,New Zealand,New Zealand
226392,2006-01-06,ODI,New Zealand,Sri Lanka,5,5,0.5,0.5,11,12,0.44,0.48,Westpac Stadium,New Zealand,New Zealand
226393,2006-01-08,ODI,Sri Lanka,New Zealand,4,6,0.4,0.6,11,11,0.44,0.44,McLean Park,New Zealand,Sri Lanka
226379,2006-01-13,ODI,Australia,Sri Lanka,7,3,0.7,0.3,18,11,0.72,0.44,Docklands Stadium,Australia,Australia
226375,2006-01-15,ODI,Australia,South Africa,8,1,0.8,0.1,18,18,0.72,0.72,Brisbane Cricket Ground,Australia,South Africa
226383,2006-01-17,ODI,Sri Lanka,South Africa,6,3,0.6,0.3,11,19,0.44,0.76,Brisbane Cricket Ground,Australia,Sri Lanka
226376,2006-01-20,ODI,Australia,South Africa,7,2,0.7,0.2,18,19,0.72,0.76,Docklands Stadium,Australia,Australia
226380,2006-01-22,ODI,Sri Lanka,Australia,2,8,0.2,0.8,12,18,0.48,0.72,Sydney Cricket Ground,Australia,Sri Lanka
226384,2006-01-24,ODI,South Africa,Sri Lanka,2,7,0.2,0.7,19,12,0.76,0.48,Adelaide Oval,Australia,South Africa
226381,2006-01-26,ODI,Sri Lanka,Australia,3,7,0.3,0.7,12,17,0.48,0.68,Adelaide Oval,Australia,Australia
226382,2006-01-29,ODI,Sri Lanka,Australia,3,7,0.3,0.7,11,17,0.44,0.68,Western Australia Cricket Association Ground,Australia,Australia
226385,2006-01-31,ODI,Sri Lanka,South Africa,6,3,0.6,0.3,11,19,0.44,0.76,Western Australia Cricket Association Ground,Australia,South Africa
226377,2006-02-03,ODI,Australia,South Africa,7,2,0.7,0.2,17,19,0.68,0.76,Docklands Stadium,Australia,Australia
226378,2006-02-05,ODI,Australia,South Africa,7,2,0.7,0.2,17,18,0.68,0.72,Sydney Cricket Ground,Australia,Australia
235831,2006-02-06,ODI,India,Pakistan,2,8,0.2,0.8,13,15,0.52,0.6,Arbab Niaz Stadium,Pakistan,Pakistan
226386,2006-02-07,ODI,Sri Lanka,South Africa,6,3,0.6,0.3,10,18,0.4,0.72,Bellerive Oval,Australia,Sri Lanka
236358,2006-02-10,ODI,Sri Lanka,Australia,3,7,0.3,0.7,10,17,0.4,0.68,Adelaide Oval,Australia,Sri Lanka
236520,2006-02-11,ODI,Pakistan,India,8,2,0.8,0.2,15,13,0.6,0.52,Rawalpindi Cricket Stadium,Pakistan,India
236595,2006-02-12,ODI,Australia,Sri Lanka,6,4,0.6,0.4,16,10,0.64,0.4,Sydney Cricket Ground,Australia,Australia
236809,2006-02-13,ODI,Pakistan,India,7,3,0.7,0.3,15,14,0.6,0.56,Gaddafi Stadium,Pakistan,India
236963,2006-02-14,ODI,Sri Lanka,Australia,4,6,0.4,0.6,10,17,0.4,0.68,Brisbane Cricket Ground,Australia,Australia
237222,2006-02-16,ODI,Pakistan,India,6,4,0.6,0.4,14,15,0.56,0.6,Multan Cricket Stadium,Pakistan,India
237568,2006-02-18,ODI,New Zealand,West Indies,4,3,0.4,0.3,10,7,0.4,0.28,Westpac Stadium,New Zealand,New Zealand
237571,2006-02-19,ODI,Pakistan,India,5,5,0.5,0.5,14,16,0.56,0.64,National Stadium,Pakistan,India
237574,2006-02-20,ODI,Bangladesh,Sri Lanka,0,10,0.0,1.0,5,9,0.2,0.36,Shaheed Chandu Stadium,Bangladesh,Sri Lanka
238176,2006-02-22,ODI,West Indies,New Zealand,3,5,0.3,0.5,6,10,0.24,0.4,Queenstown Events Centre,New Zealand,New Zealand
238169,2006-02-22,ODI,Sri Lanka,Bangladesh,10,0,1.0,0.0,9,5,0.36,0.2,Shaheed Chandu Stadium,Bangladesh,Bangladesh
238177,2006-02-25,ODI,New Zealand,West Indies,6,2,0.6,0.2,11,6,0.44,0.24,Jade Stadium,New Zealand,New Zealand
238170,2006-02-25,ODI,Sri Lanka,Bangladesh,9,1,0.9,0.1,8,6,0.32,0.24,Chittagong Divisional Stadium,Bangladesh,Sri Lanka
238208,2006-02-25,ODI,Kenya,Zimbabwe,1,8,0.1,0.8,4,2,0.16,0.08,Queens Sports Club,Zimbabwe,Zimbabwe
238196,2006-02-26,ODI,Australia,South Africa,7,2,0.7,0.2,18,17,0.72,0.68,SuperSport Park,South Africa,South Africa
238209,2006-02-26,ODI,Kenya,Zimbabwe,1,8,0.1,0.8,4,3,0.16,0.12,Queens Sports Club,Zimbabwe,Kenya
238210,2006-03-01,ODI,Kenya,Zimbabwe,2,7,0.2,0.7,5,3,0.2,0.12,Harare Sports Club,Zimbabwe,Kenya
238178,2006-03-01,ODI,New Zealand,West Indies,7,1,0.7,0.1,11,6,0.44,0.24,McLean Park,New Zealand,New Zealand
238211,2006-03-03,ODI,Zimbabwe,Kenya,6,3,0.6,0.3,3,6,0.12,0.24,Harare Sports Club,Zimbabwe,Zimbabwe
238197,2006-03-03,ODI,South Africa,Australia,3,6,0.3,0.6,17,17,0.68,0.68,Newlands,South Africa,South Africa
238179,2006-03-04,ODI,New Zealand,West Indies,7,1,0.7,0.1,12,5,0.48,0.2,Eden Park,New Zealand,West Indies
238198,2006-03-05,ODI,Australia,South Africa,6,4,0.6,0.4,16,17,0.64,0.68,St George's Park,South Africa,Australia
238199,2006-03-10,ODI,South Africa,Australia,4,6,0.4,0.6,16,17,0.64,0.68,Kingsmead,South Africa,Australia
238200,2006-03-12,ODI,Australia,South Africa,6,4,0.6,0.4,17,15,0.68,0.6,New Wanderers Stadium,South Africa,South Africa
239902,2006-03-17,ODI,Bangladesh,Kenya,1,6,0.14285714285714285,0.8571428571428571,6,6,0.24,0.24,Shaheed Chandu Stadium,Bangladesh,Bangladesh
238213,2006-03-17,ODI,Pakistan,Sri Lanka,5,5,0.5,0.5,13,8,0.52,0.32,R Premadasa Stadium,Sri Lanka,
238214,2006-03-19,ODI,Sri Lanka,Pakistan,5,4,0.5,0.4,8,13,0.32,0.52,R Premadasa Stadium,Sri Lanka,Pakistan
239903,2006-03-20,ODI,Kenya,Bangladesh,6,2,0.75,0.25,6,7,0.24,0.28,Khulna Divisional Stadium,Bangladesh,Bangladesh
238215,2006-03-22,ODI,Sri Lanka,Pakistan,4,5,0.4,0.5,8,14,0.32,0.56,Sinhalese Sports Club Ground,Sri Lanka,Pakistan
239904,2006-03-23,ODI,Bangladesh,Kenya,3,6,0.3333333333333333,0.6666666666666666,8,6,0.32,0.24,Narayanganj Osmani Stadium,Bangladesh,Bangladesh
239905,2006-03-25,ODI,Kenya,Bangladesh,6,4,0.6,0.4,6,9,0.24,0.36,Narayanganj Osmani Stadium,Bangladesh,Bangladesh
238188,2006-03-28,ODI,India,England,5,4,0.5,0.4,17,11,0.68,0.44,Feroz Shah Kotla,India,India
238189,2006-03-31,ODI,England,India,3,6,0.3,0.6,10,17,0.4,0.68,Nahar Singh Stadium,India,India
238190,2006-04-03,ODI,India,England,6,3,0.6,0.3,18,9,0.72,0.36,Nehru Stadium,India,India
238191,2006-04-06,ODI,England,India,3,7,0.3,0.7,8,18,0.32,0.72,Nehru Stadium,India,India
238193,2006-04-12,ODI,India,England,8,2,0.8,0.2,19,7,0.76,0.28,Keenan Stadium,India,England
238194,2006-04-15,ODI,England,India,3,7,0.3,0.7,8,19,0.32,0.76,Maharani Usharaje Trust Cricket Ground,India,India
244510,2006-04-18,ODI,India,Pakistan,5,5,0.5,0.5,19,14,0.76,0.56,Sheikh Zayed Stadium,United Arab Emirates,Pakistan
244511,2006-04-19,ODI,India,Pakistan,4,6,0.4,0.6,18,14,0.72,0.56,Sheikh Zayed Stadium,United Arab Emirates,India
238173,2006-04-23,ODI,Bangladesh,Australia,1,8,0.1111111111111111,0.8888888888888888,10,17,0.4,0.68,Chittagong Divisional Stadium,Bangladesh,Australia
238174,2006-04-26,ODI,Australia,Bangladesh,9,1,0.9,0.1,18,10,0.72,0.4,Narayanganj Osmani Stadium,Bangladesh,Australia
238175,2006-04-28,ODI,Bangladesh,Australia,1,9,0.1,0.9,10,18,0.4,0.72,Narayanganj Osmani Stadium,Bangladesh,Australia
239907,2006-04-29,ODI,Zimbabwe,West Indies,3,7,0.3,0.7,4,5,0.16,0.2,Antigua Recreation Ground,West Indies,West Indies
239908,2006-04-30,ODI,West Indies,Zimbabwe,7,3,0.7,0.3,5,4,0.2,0.16,Antigua Recreation Ground,West Indies,West Indies
239910,2006-05-07,ODI,West Indies,Zimbabwe,7,3,0.7,0.3,5,4,0.2,0.16,Bourda,West Indies,West Indies
239911,2006-05-10,ODI,Zimbabwe,West Indies,3,7,0.3,0.7,4,6,0.16,0.24,Beausejour Stadium,West Indies,West Indies
239912,2006-05-13,ODI,West Indies,Zimbabwe,8,2,0.8,0.2,7,4,0.28,0.16,Queen's Park Oval,West Indies,
239913,2006-05-14,ODI,West Indies,Zimbabwe,7,2,0.7,0.2,7,4,0.28,0.16,Queen's Park Oval,West Indies,West Indies
247359,2006-05-16,ODI,Zimbabwe,Canada,0,0,0.0,0.0,4,1,0.16,0.1111111111111111,Queen's Park Oval,West Indies,Zimbabwe
247360,2006-05-17,ODI,Canada,Bermuda,0,0,0.0,0.0,1,0,0.1,0.0,Queen's Park Oval,West Indies,Bermuda
247361,2006-05-18,ODI,Zimbabwe,Bermuda,0,0,0.0,0.0,5,1,0.2,1.0,Queen's Park Oval,West Indies,Zimbabwe
239915,2006-05-18,ODI,West Indies,India,4,6,0.4,0.6,8,18,0.32,0.72,Sabina Park,West Indies,India
247363,2006-05-20,ODI,Zimbabwe,Bermuda,1,0,1.0,0.0,6,1,0.24,0.5,Queen's Park Oval,West Indies,Zimbabwe
239916,2006-05-20,ODI,West Indies,India,4,6,0.4,0.6,7,19,0.28,0.76,Sabina Park,West Indies,West Indies
239917,2006-05-23,ODI,India,West Indies,6,4,0.6,0.4,18,8,0.72,0.32,Warner Park,West Indies,West Indies
239918,2006-05-26,ODI,India,West Indies,6,4,0.6,0.4,17,9,0.68,0.36,Queen's Park Oval,West Indies,West Indies
239919,2006-05-28,ODI,West Indies,India,5,5,0.5,0.5,10,16,0.4,0.64,Queen's Park Oval,West Indies,West Indies
225171,2006-06-13,ODI,England,Ireland,0,0,0.0,0.0,8,0,0.32,0.0,Civil Service Cricket Club,Ireland,England
225250,2006-06-17,ODI,Sri Lanka,England,4,6,0.4,0.6,8,9,0.32,0.36,Lord's,England,Sri Lanka
225251,2006-06-20,ODI,Sri Lanka,England,4,6,0.4,0.6,9,9,0.36,0.36,Kennington Oval,England,Sri Lanka
225252,2006-06-24,ODI,England,Sri Lanka,5,5,0.5,0.5,9,9,0.36,0.36,Riverside Ground,England,Sri Lanka
240777,2006-06-27,ODI,Scotland,Pakistan,0,1,0.0,1.0,0,14,0.0,0.56,Grange Cricket Club Ground,Scotland,Pakistan
225253,2006-06-28,ODI,Sri Lanka,England,6,4,0.6,0.4,10,9,0.4,0.36,Old Trafford,England,Sri Lanka
225254,2006-07-01,ODI,England,Sri Lanka,4,6,0.4,0.6,8,11,0.32,0.44,Headingley,England,Sri Lanka
247827,2006-07-04,ODI,Sri Lanka,Netherlands,1,0,1.0,0.0,12,1,0.48,0.07692307692307693,VRA Ground,Netherlands,Sri Lanka
247828,2006-07-06,ODI,Sri Lanka,Netherlands,2,0,1.0,0.0,13,1,0.52,0.07142857142857142,VRA Ground,Netherlands,Sri Lanka
249203,2006-07-29,ODI,Bangladesh,Zimbabwe,4,6,0.4,0.6,9,7,0.36,0.28,Harare Sports Club,Zimbabwe,Zimbabwe
249204,2006-07-30,ODI,Bangladesh,Zimbabwe,4,6,0.4,0.6,9,7,0.36,0.28,Harare Sports Club,Zimbabwe,Bangladesh
249205,2006-08-02,ODI,Bangladesh,Zimbabwe,5,5,0.5,0.5,10,6,0.4,0.24,Harare Sports Club,Zimbabwe,Zimbabwe
249206,2006-08-04,ODI,Bangladesh,Zimbabwe,4,6,0.4,0.6,10,7,0.4,0.28,Harare Sports Club,Zimbabwe,Zimbabwe
253010,2006-08-05,ODI,Ireland,Scotland,0,0,0.0,0.0,0,0,0.0,0.0,Cambusdoon New Ground,Scotland,Ireland
251480,2006-08-05,ODI,Kenya,Canada,1,0,1.0,0.0,6,1,0.24,0.09090909090909091,Toronto Cricket,Canada,Kenya
251481,2006-08-06,ODI,Canada,Kenya,0,2,0.0,1.0,1,7,0.08333333333333333,0.28,Toronto Cricket,Canada,Kenya
253016,2006-08-06,ODI,Netherlands,Scotland,0,0,0.0,0.0,1,0,0.06666666666666667,0.0,Cambusdoon New Ground,Scotland,Scotland
249207,2006-08-06,ODI,Zimbabwe,Bangladesh,6,4,0.6,0.4,8,9,0.32,0.36,Harare Sports Club,Zimbabwe,Bangladesh
253018,2006-08-08,ODI,Ireland,Netherlands,0,0,0.0,0.0,1,1,0.5,0.0625,Cambusdoon New Ground,Scotland,
249378,2006-08-12,ODI,Kenya,Bangladesh,5,5,0.5,0.5,8,9,0.32,0.36,Gymkhana Club Ground,Kenya,Bangladesh
249379,2006-08-13,ODI,Kenya,Bangladesh,4,6,0.4,0.6,8,9,0.32,0.36,Gymkhana Club Ground,Kenya,Bangladesh
249380,2006-08-15,ODI,Kenya,Bangladesh,4,6,0.4,0.6,8,10,0.32,0.4,Gymkhana Club Ground,Kenya,Bangladesh
256665,2006-08-18,ODI,India,Sri Lanka,6,4,0.6,0.4,15,14,0.6,0.56,Sinhalese Sports Club Ground,Sri Lanka,
